"id";"uri";"titulo";"entidade";"entidadeUF";"entidadePais";"anoInicio";"anoFim"
"220586";"https://dadosabertos.camara.leg.br/api/v2/deputados/220586";"Secretário de Estado";"Secretaria de Estado da Educação";"AL";"BRASIL";"2021";"2022"
"220586";"https://dadosabertos.camara.leg.br/api/v2/deputados/220586";"Secretário de Estado";"Secretaria de Estado do Desenvolvimento Econômico e Turismo";"AL";"BRASIL";"2017";"2021"
"220586";"https://dadosabertos.camara.leg.br/api/v2/deputados/220586";"Diretor Presidente";"Desenvolve - Agência de Fomento de Alagoas";"AL";"BRASIL";"2016";"2017"
"220586";"https://dadosabertos.camara.leg.br/api/v2/deputados/220586";"Secretário de Estado";"Secretaria de Estado do Trabalho e Emprego";"AL";"BRASIL";"2015";"2016"
"220583";"https://dadosabertos.camara.leg.br/api/v2/deputados/220583";"Delegado de Polícia";"Polícia Civil de Alagoas";"AL";"BRASIL";"2014";""
"220583";"https://dadosabertos.camara.leg.br/api/v2/deputados/220583";"Bombeiro Militar";"Corpo de Bombeiros Militar de Alagoas – CBMAL";"AL";"BRASIL";"2002";"2014"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Secretária Estadual";"Secretaria de Estado da Educação do Amapá";"AP";"BRASIL";"2016";"2022"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Secretária Estadual";"Secretaria de Estado da Administração do Amapá";"";"";"2015";"2016"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Servidora";"Instituto de Pesquisas Científicas e Tecnológicas do Estado do Amapá - IEPA";"AP";"BRASIL";"2011";"2014"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Diretora-Presidente";"Escola de Administração Pública do Amapá";"AP";"BRASIL";"2003";"2011"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Professora do Magistério Superior";"Faculdade Estácio de Macapá";"AP";"BRASIL";"2002";"2002"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Assessora Técnica";"Fundação da Criança e do Adolescente";"AP";"BRASIL";"1992";"2001"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Servidora";"Secretaria de Estado do Trabalho e Promoção Social do Amapá";"AP";"BRASIL";"1991";"1992"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Coordenadora";"Centro Educacional Açucena";"AP";"BRASIL";"1990";"1993"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Professora";"Escola Estadual Augusto Antunes";"AP";"BRASIL";"1986";"1991"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Professora";"Fundação Bradesco";"AP";"BRASIL";"1986";"1990"
"220580";"https://dadosabertos.camara.leg.br/api/v2/deputados/220580";"Servidora";"Secretaria de Estado da Educação do Amapá";"AP";"BRASIL";"1986";"1991"
